time	fLOW FROM 14
13365	1.106726591
13380	1.410865644
13395	1.743228053
13410	1.988394527
13425	2.171798207
13440	2.257385278
13455	2.300146282
13470	2.367559084
13485	2.47636313
13500	2.608689546
13515	2.690812603
13530	2.665021323
13545	2.555167688
13560	2.453406398
13575	2.303663453
13590	2.114468562
13605	1.906324832
13620	1.693947959
13635	1.489765125
13650	1.324535406
13665	1.152373453
13680	1.022776604
13695	0.905872416
13710	0.791029488
13725	0.723744396
13740	0.634709218
13755	0.569197334
13770	0.517084847
13785	0.461560632
13800	0.415135379
13815	0.37586376
13830	0.342978748
13845	0.311613014
13860	0.28500468
13875	0.258377694
13890	0.239240063
13905	0.223520291
13920	0.20494609
13935	0.186432152
13950	0.172263598
13965	0.162485079
13980	0.155145037
13995	0.142425029
14010	0.131752429
14025	0.123339669
14040	0.116971635
14055	0.112923744
14070	0.105643593
14085	0.098511342
14100	0.092052637
14115	0.087115257
14130	0.083450943
14145	0.080474301
14160	0.077767213
14175	0.077649649
14190	0.079047175
14205	0.081127292
14220	0.085090496
14235	0.090152342
14250	0.094392079
14265	0.097695737
14280	0.099736409
14295	0.099763892
14310	0.098288901
14325	0.096652869
14340	0.095053646
14355	0.093771284
14370	0.090938475
14385	0.087426211
14400	0.084350125
14415	0.081807157
14430	0.079680957
14445	0.078317476
14460	0.07615774
14475	0.073633865
14490	0.071002004
14505	0.06870556
14520	0.066684155
14535	0.065165615
14550	0.063590352
14565	0.061766399
14580	0.060052665
14595	0.058412753
14610	0.056778126
14625	0.055172033
14640	0.053733693
14655	0.052229386
14670	0.050609724
14685	0.049256085
14700	0.048124563
14715	0.046907503
14730	0.045652596
14745	0.04408646
14760	0.04244436
14775	0.040800885
14790	0.039157192
14805	0.03791869
14820	0.036744708
14835	0.035935011
14850	0.03521074
14865	0.034021429
14880	0.03264733
14895	0.031347529
14910	0.030108297
14925	0.028967575
14940	0.028045071
14955	0.027124368
14970	0.026569115
14985	0.026013861
15000	0.02533641
15015	0.024588179
15030	0.02380889
15045	0.022905824
15060	0.02200276
15075	0.021251136
15090	0.02057439
15105	0.019912261
15120	0.019469122
15135	0.019025985
15150	0.018554906
15165	0.018038959
15180	0.017523013
15195	0.01701587
15210	0.016514179
15225	0.016012488
15240	0.015531631
15255	0.015057489
15270	0.014583346
15285	0.014233111
15300	0.013914926
15315	0.013596743
15330	0.013239914
15345	0.012869751
15360	0.012499587
15375	0.012187317
15390	0.011918367
15405	0.011649417
15420	0.011375823
15435	0.011091918
15450	0.010808011
15465	0.010524106
15480	0.010301713
15495	0.010083304
15510	0.009864895
15525	0.009628294
15540	0.009370373
15555	0.009112451
15570	0.008854531
15585	0.008659514
15600	0.008476036
15615	0.008292558
15630	0.008115233
15645	0.007989248
15660	0.007863263
15675	0.007737279
15690	0.007604735
15705	0.007454549
15720	0.007304366
15735	0.007154181
15750	0.006996659
15765	0.006822666
15780	0.006648674
15795	0.00647468
15810	0.006309068
15825	0.00618065
15840	0.006052231
15855	0.005923811
15870	0.005795392
15885	0.005707708
15900	0.005623947
15915	0.005540186
15930	0.005456426
15945	0.00538146
15960	0.005314775
15975	0.005248091
15990	0.005181405
16005	0.005114713
16020	0.005003716
16035	0.004892719
16050	0.004781723
16065	0.004670726
16080	0.004568431
16095	0.004486013
16110	0.004403595
16125	0.004321178
16140	0.004238759
16155	0.00416712
16170	0.004109131
16185	0.004051141
16200	0.003993151
16215	0.003935161
16230	0.003887048
16245	0.003851829
16260	0.003816611
16275	0.003781393
16290	0.003746175
16305	0.003701787
16320	0.003635459
16335	0.003569131
16350	0.003502802
16365	0.003436474
16380	0.003370146
16395	0.003314004
16410	0.003258154
16425	0.003202304
16440	0.003146453
16455	0.003090604
16470	0.003041471
16485	0.003000436
16500	0.002959403
16515	0.00291837
16530	0.002877336
16545	0.002836302
16560	0.002806074
16575	0.002779234
16590	0.002752392
16605	0.002725553
16620	0.002698713
16635	0.002671871
16650	0.002637941
16665	0.002603334
16680	0.002568728
